"workstream_hash","workstream_title","workstream_description","workstream_status","workstream_priority","workstream_complexity","estimated_completion_time","workstream_has_dependencies","output_result","workstream_created_at","workstream_updated_at","drop_id","drop_hash","drop_title","owner_id","drop_priority","drop_complexity","estimated_time","completion_time","details","objectives","tasks","drop_has_dependencies","drop_status","drop_created_at","due_date","last_updated","comments","assignment_date","completion_date","failed_drops","tags","origin_job_id","aggregated_notes","aggregated_test_outcomes","last_aggregated_at","dependencies"
"6725bdd7d4647b2454663676789a9516",AI Evaluation Layer,"Introduce mandatory evaluation skills and gating for all LLM-driven flows: evaluate_output, validate_coverage, check_grounding, and validate_schema. Persist evaluation history in kb_evaluations, expose evaluation APIs, and wire evaluation gates into generation and RAG response flows so only outputs meeting thresholds are persisted or surfaced. This makes LLM outputs auditable and prevents unvalidated content from entering production state.",Active,High,"8",4,false,"",2026-03-19 15:20:01.693,2026-03-19 15:20:01.693,8989,"8bc4001ecea936a0b1bc94bfa0d530a7",Evaluate Output Skill API Endpoint Implemented Live,,High,"4",6,0,"A live POST endpoint /v1/skills/evaluate_output is implemented that accepts {model_output, context_id} and returns {score:0.0-1.0, passed:boolean, reasons:[]}. Verification: call the endpoint with a sample model_output and confirm HTTP 200 and the response contains score, passed, and reasons.",Provide a production-callable evaluate_output skill API that returns a deterministic evaluation result for a single model output so downstream flows can gate on it.,"[""Add POST /v1/skills/evaluate_output route"", ""Implement handler that parses {model_output,context_id} and runs the evaluate_output heuristics stub"", ""Return JSON {score,passed,reasons} with 200 for happy path"", ""Add unit test calling endpoint and asserting response shape"", ""Deploy endpoint behind existing API gateway and smoke-test with curl""]",false,Not Started,2026-03-19 15:35:34.049,,2026-03-19 15:35:34.049,"",,,,"evaluate_output, POST /v1/skills/evaluate_output, API, LLM, evaluation",,,,,(none)
"6725bdd7d4647b2454663676789a9516",AI Evaluation Layer,"Introduce mandatory evaluation skills and gating for all LLM-driven flows: evaluate_output, validate_coverage, check_grounding, and validate_schema. Persist evaluation history in kb_evaluations, expose evaluation APIs, and wire evaluation gates into generation and RAG response flows so only outputs meeting thresholds are persisted or surfaced. This makes LLM outputs auditable and prevents unvalidated content from entering production state.",Active,High,"8",4,false,"",2026-03-19 15:20:01.693,2026-03-19 15:20:01.693,8990,a262492d70cfa25d72722f9acdf34596,Validate Coverage Skill API Endpoint Implemented Live,,High,"4",5,0,"A live POST endpoint /v1/skills/validate_coverage is implemented that accepts {prompt,reference_docs} and returns {coverage_score, missing_topics}. Verification: call endpoint with a prompt and sample reference_docs and receive coverage_score and missing_topics in the 200 response.",Provide a callable validate_coverage skill API that quantifies topical coverage vs. provided references so flows can require minimum coverage before surfacing outputs.,"[""Add POST /v1/skills/validate_coverage route"", ""Implement handler that computes coverage_score and lists missing_topics (simple keyword-based check)"", ""Return JSON {coverage_score,missing_topics} on success"", ""Add unit/integration test calling endpoint with sample prompt and docs"", ""Smoke-test endpoint via API gateway""]",false,Not Started,2026-03-19 15:35:34.062,,2026-03-19 15:35:34.062,"",,,,"validate_coverage, POST /v1/skills/validate_coverage, API, coverage, LLM",,,,,(none)
"6725bdd7d4647b2454663676789a9516",AI Evaluation Layer,"Introduce mandatory evaluation skills and gating for all LLM-driven flows: evaluate_output, validate_coverage, check_grounding, and validate_schema. Persist evaluation history in kb_evaluations, expose evaluation APIs, and wire evaluation gates into generation and RAG response flows so only outputs meeting thresholds are persisted or surfaced. This makes LLM outputs auditable and prevents unvalidated content from entering production state.",Active,High,"8",4,false,"",2026-03-19 15:20:01.693,2026-03-19 15:20:01.693,8991,c80ee7aa6c2f08d91e24a776e0754ebb,Check Grounding Skill API Endpoint Implemented Live,,High,"5",6,0,"A live POST endpoint /v1/skills/check_grounding is implemented that accepts {model_output,source_documents} and returns {grounding_score, citations_matched}. Verification: call endpoint with an output referencing sources and confirm grounding_score and citations_matched are returned in HTTP 200.",Expose the check_grounding evaluation as an API so RAG and generation flows can verify that outputs are correctly grounded to provided sources before surfacing them.,"[""Add POST /v1/skills/check_grounding route"", ""Implement grounding logic to compare referenced citations in model_output to source_documents and compute grounding_score"", ""Return JSON {grounding_score,citations_matched} with 200 on success"", ""Add tests that call endpoint with matched and unmatched citations"", ""Smoke-test via curl to confirm returned fields""]",false,Not Started,2026-03-19 15:35:34.076,,2026-03-19 15:35:34.076,"",,,,"check_grounding, POST /v1/skills/check_grounding, RAG, grounding, API, LLM",,,,,(none)
"6725bdd7d4647b2454663676789a9516",AI Evaluation Layer,"Introduce mandatory evaluation skills and gating for all LLM-driven flows: evaluate_output, validate_coverage, check_grounding, and validate_schema. Persist evaluation history in kb_evaluations, expose evaluation APIs, and wire evaluation gates into generation and RAG response flows so only outputs meeting thresholds are persisted or surfaced. This makes LLM outputs auditable and prevents unvalidated content from entering production state.",Active,High,"8",4,false,"",2026-03-19 15:20:01.693,2026-03-19 15:20:01.693,8992,"4eb1a3985e9c191f8b39ee153b79cde2",Validate Schema Skill API Endpoint Implemented Live,,High,"5",6,0,"A live POST endpoint /v1/skills/validate_schema is implemented that accepts {payload,schema} (inline JSON Schema) and returns {valid:boolean, errors:[]}. Verification: call the endpoint with a valid payload/schema and an invalid payload and confirm 200 responses contain valid flag and errors array.",Provide a schema validation skill API (validate_schema) that programmatically validates generated payloads against JSON Schemas so only schema-compliant outputs progress.,"[""Add POST /v1/skills/validate_schema route"", ""Integrate a JSON Schema validator library and validate incoming payload against provided schema"", ""Return JSON {valid,errors} where errors is a list of field errors"", ""Add tests that exercise valid and invalid payloads and assert error details"", ""Document response error_code schema_invalid in handler for failed validation""]",false,Not Started,2026-03-19 15:35:34.090,,2026-03-19 15:35:34.090,"",,,,"validate_schema, POST /v1/skills/validate_schema, JSON Schema, API, schema-validation",,,,,(none)
"6725bdd7d4647b2454663676789a9516",AI Evaluation Layer,"Introduce mandatory evaluation skills and gating for all LLM-driven flows: evaluate_output, validate_coverage, check_grounding, and validate_schema. Persist evaluation history in kb_evaluations, expose evaluation APIs, and wire evaluation gates into generation and RAG response flows so only outputs meeting thresholds are persisted or surfaced. This makes LLM outputs auditable and prevents unvalidated content from entering production state.",Active,High,"8",4,false,"",2026-03-19 15:20:01.693,2026-03-19 15:20:01.693,8993,"2bab7610118878f25f0a474c13717ca9",Persist Evaluation Records to kb_evaluations Table Live,,High,"6",8,0,"Evaluation results emitted by skill endpoints are persisted to the kb_evaluations table with columns at minimum {evaluation_id,flow_id,skill_name,score,passed,raw_result,timestamp}. Verification: call evaluate_output or validate_coverage endpoints and confirm a row is inserted into kb_evaluations with matching skill_name and score.",Ensure every skill evaluation is durably stored in kb_evaluations for auditability and to drive gating logic.,"[""Add DB insert function write_kb_evaluation({flow_id,skill_name,score,passed,raw_result,timestamp})"", ""Wire write_kb_evaluation into each skill endpoint (evaluate_output,validate_coverage,check_grounding,validate_schema) to persist results"", ""Add integration test: call evaluate_output and assert a kb_evaluations row exists with matching fields"", ""Add basic DB migration or create-table-if-not-exists for kb_evaluations (id,flow_id,skill_name,score,passed,raw_result,timestamp)"", ""Run smoke test: call endpoint and query kb_evaluations to confirm artifact""]",true,Not Started,2026-03-19 15:35:34.103,,2026-03-19 15:35:34.103,"",,,,"kb_evaluations, DB, persistence, evaluation, evaluate_output, validate_coverage",,,,,"8991: Check Grounding Skill API Endpoint Implemented Live, 8989: Evaluate Output Skill API Endpoint Implemented Live, 8990: Validate Coverage Skill API Endpoint Implemented Live, 8992: Validate Schema Skill API Endpoint Implemented Live"
"6725bdd7d4647b2454663676789a9516",AI Evaluation Layer,"Introduce mandatory evaluation skills and gating for all LLM-driven flows: evaluate_output, validate_coverage, check_grounding, and validate_schema. Persist evaluation history in kb_evaluations, expose evaluation APIs, and wire evaluation gates into generation and RAG response flows so only outputs meeting thresholds are persisted or surfaced. This makes LLM outputs auditable and prevents unvalidated content from entering production state.",Active,High,"8",4,false,"",2026-03-19 15:20:01.693,2026-03-19 15:20:01.693,8994,db4a08f95fb354c09a1286c1c7de33a0,Evaluation History Retrieval API Endpoint Implemented Live,,Medium-High,"4",4,0,"A live GET endpoint GET /v1/evaluations?flow_id={flow_id}&limit=50 returns the latest evaluation rows from kb_evaluations (fields: evaluation_id,skill_name,score,passed,raw_result,timestamp). Verification: call the endpoint with a flow_id used in previous evaluations and confirm the returned list matches rows in kb_evaluations.",Expose persisted evaluation history so operators and downstream flows can fetch past evaluations for a flow or output.,"[""Add GET /v1/evaluations route that accepts flow_id and limit"", ""Implement handler to query kb_evaluations and return JSON list of evaluation objects sorted by timestamp desc"", ""Add unit/integration test: seed kb_evaluations and assert API returns expected rows"", ""Add basic pagination parameters (limit default 50) and validate input""]",true,Not Started,2026-03-19 15:35:34.115,,2026-03-19 15:35:34.115,"",,,,"kb_evaluations, GET /v1/evaluations, API, history, audit",,,,,"8993: Persist Evaluation Records to kb_evaluations Table Live"
"6725bdd7d4647b2454663676789a9516",AI Evaluation Layer,"Introduce mandatory evaluation skills and gating for all LLM-driven flows: evaluate_output, validate_coverage, check_grounding, and validate_schema. Persist evaluation history in kb_evaluations, expose evaluation APIs, and wire evaluation gates into generation and RAG response flows so only outputs meeting thresholds are persisted or surfaced. This makes LLM outputs auditable and prevents unvalidated content from entering production state.",Active,High,"8",4,false,"",2026-03-19 15:20:01.693,2026-03-19 15:20:01.693,8995,"34506a32a24030047ea22c60d4260cdc",Include Evaluation Metadata in Generation Responses Live,,Medium-High,"5",6,0,"Generation responses from POST /v1/generate now include an evaluation metadata block when available: {evaluation:{score,passed,skill_name,evaluation_id,evaluated_at}}. Verification: call generate with flow_id tied to an existing evaluation and confirm the generation response contains the evaluation metadata field.",Make evaluation results visible in generation responses so callers can see why an output was accepted or rejected.,"[""Update POST /v1/generate handler to look up latest kb_evaluations entry for the output or flow_id"", ""Attach evaluation metadata {score,passed,skill_name,evaluation_id,evaluated_at} to the response JSON when found"", ""Ensure response schema includes evaluation nullable object"", ""Add integration test: seed kb_evaluations and call generate to assert evaluation metadata is present"", ""Smoke-test generation endpoint to confirm backward compatibility when no evaluation exists""]",true,Not Started,2026-03-19 15:35:34.128,,2026-03-19 15:35:34.128,"",,,,"POST /v1/generate, evaluation, metadata, kb_evaluations, generation",,,,,"8994: Evaluation History Retrieval API Endpoint Implemented Live, 8993: Persist Evaluation Records to kb_evaluations Table Live"
"6725bdd7d4647b2454663676789a9516",AI Evaluation Layer,"Introduce mandatory evaluation skills and gating for all LLM-driven flows: evaluate_output, validate_coverage, check_grounding, and validate_schema. Persist evaluation history in kb_evaluations, expose evaluation APIs, and wire evaluation gates into generation and RAG response flows so only outputs meeting thresholds are persisted or surfaced. This makes LLM outputs auditable and prevents unvalidated content from entering production state.",Active,High,"8",4,false,"",2026-03-19 15:20:01.693,2026-03-19 15:20:01.693,8996,d434ea6525ea137199bf9d571d65c419,Generation Flow Enforces Evaluation Gates Before Persisting,,High,"7",8,0,"The generation flow (POST /v1/generate) now enforces evaluation gates: after generation it calls evaluate_output (and validate_schema if schema included) and only persists the generated item to the KB when evaluations meet configured thresholds (e.g., score>=0.8). Verification: execute generate with inputs that pass the threshold and confirm KB persistence; execute with failing inputs and confirm no KB row and an HTTP 422 with evaluation metadata is returned.",Prevent low-quality or unvalidated generated outputs from being persisted by enforcing evaluation gates in the generation flow.,"[""Add gating step in POST /v1/generate: call evaluate_output and (if schema present) validate_schema"", ""Compare returned scores against runtime thresholds and determine pass/fail"", ""On pass: persist generated output and the evaluation record already written to kb_evaluations"", ""On fail: do not persist output to KB and return 422 with evaluation metadata"", ""Add integration tests for pass and fail cases asserting persistence/no-persistence and response codes""]",true,Not Started,2026-03-19 15:35:34.151,,2026-03-19 15:35:34.151,"",,,,"generation, gating, POST /v1/generate, kb_evaluations, evaluate_output, validate_schema",,,,,"8989: Evaluate Output Skill API Endpoint Implemented Live, 8993: Persist Evaluation Records to kb_evaluations Table Live, 9001: Runtime Evaluation Thresholds Enforced and Adjustable Live, 8992: Validate Schema Skill API Endpoint Implemented Live"
"6725bdd7d4647b2454663676789a9516",AI Evaluation Layer,"Introduce mandatory evaluation skills and gating for all LLM-driven flows: evaluate_output, validate_coverage, check_grounding, and validate_schema. Persist evaluation history in kb_evaluations, expose evaluation APIs, and wire evaluation gates into generation and RAG response flows so only outputs meeting thresholds are persisted or surfaced. This makes LLM outputs auditable and prevents unvalidated content from entering production state.",Active,High,"8",4,false,"",2026-03-19 15:20:01.693,2026-03-19 15:20:01.693,8997,"7c652e5912e8facde24e6baa646c692a",RAG Flow Blocks Responses Failing Evaluation Gates Live,,High,"7",8,0,The RAG endpoint POST /v1/rag now invokes validate_coverage and check_grounding and will block returning responses to callers when evaluations fail configured gates; in failing cases it returns HTTP 422 with evaluation metadata. Verification: call /v1/rag with inputs that produce failing coverage/grounding and confirm response is blocked and contains evaluation details; call with passing inputs and confirm normal 200 response.,"Ensure retrieval-augmented generation responses are validated for coverage and grounding before being returned to users, preventing ungrounded or insufficient answers from surfacing.","[""Update POST /v1/rag handler to call validate_coverage and check_grounding after candidate generation"", ""Persist evaluations to kb_evaluations via existing persistence function"", ""If any evaluation fails thresholds, return 422 with the failing evaluations included"", ""If all evaluations pass, return the RAG response and proceed with any persistence operations"", ""Add tests validating both blocked and allowed RAG flows""]",true,Not Started,2026-03-19 15:35:34.164,,2026-03-19 15:35:34.164,"",,,,"RAG, POST /v1/rag, validate_coverage, check_grounding, gating, kb_evaluations",,,,,"8991: Check Grounding Skill API Endpoint Implemented Live, 8993: Persist Evaluation Records to kb_evaluations Table Live, 9001: Runtime Evaluation Thresholds Enforced and Adjustable Live, 8990: Validate Coverage Skill API Endpoint Implemented Live"
"6725bdd7d4647b2454663676789a9516",AI Evaluation Layer,"Introduce mandatory evaluation skills and gating for all LLM-driven flows: evaluate_output, validate_coverage, check_grounding, and validate_schema. Persist evaluation history in kb_evaluations, expose evaluation APIs, and wire evaluation gates into generation and RAG response flows so only outputs meeting thresholds are persisted or surfaced. This makes LLM outputs auditable and prevents unvalidated content from entering production state.",Active,High,"8",4,false,"",2026-03-19 15:20:01.693,2026-03-19 15:20:01.693,8998,"7f5c674e2c2e5b527e88ec577a3cffcf",Prevent Unvalidated Outputs from Being Persisted to KB,,High,"6",6,0,Persistence layer now enforces that any write to the KB requires an associated passed evaluation in kb_evaluations; writes without a passed evaluation are rejected and return a clear error. Verification: attempt to write a KB object without a passed evaluation and confirm the write fails and no KB row is created; write with an existing passed evaluation and confirm success.,Prevent unvalidated outputs from being persisted to the knowledge base by enforcing an evaluation check at the persistence API layer.,"[""Modify KB persistence function to require check for kb_evaluations where flow_id/output_id has passed=true before insert"", ""Return structured error when check fails and abort insert"", ""Add integration test: try persisting without eval -> assert failure and no KB row; with eval -> assert success"", ""Add a defensive unit test around race condition: verify single-writer path checks evaluation prior to insert""]",true,Not Started,2026-03-19 15:35:34.176,,2026-03-19 15:35:34.176,"",,,,"persistence, KB, kb_evaluations, gating, write-guard, LLM",,,,,"8993: Persist Evaluation Records to kb_evaluations Table Live"
